Material,Материал,Формула,"Eg, эВ",Тип,Элементы,Решетка,"Постоянная решетки,нм","Плотность, г/см$^3$","M, г/моль","Тпл, К","Ткип, К",me*,me*(l),me*(t),mh*,mh*(l),mh*(t),"mu_e, см^2В$^{-1}с^{-1}","mu_h, см^2В$^{-1}с^{-1}",epsilon(0),epsilon(infty),Растворимость в воде
,,CuInTe2,,,,,,,,,,,,,,,,,,12.7,8.5,
,,AgGaS2,,,,,,,,,,,,,,,,,,8.2,5.5,
,,AgGaSe2,,,,,,,,,,,,,,,,,,10,6.6,
,,AgGaTe2,,,,,,,,,,,,,,,,,,8.9,11,
,,AgInS2,,,,,,,,,,,,,,,,,,7.6,6.3,
,,AgInSe2,,,,,,,,,,,,,,,,,,7,8.2,
,,AgInTe2,,,,,,,,,,,,,,,,,,8,15.8,
,,ZnSiP2,,,,,,,,,,,,,,,,,,11,9.7,
,,ZnGeP2,,,,,,,,,,,,,,,,,,12.8,10,
,,CdSiP2,,,,,,,,,,,,,,,,,,11.5,11.4,
,,CdGeP2,,,,,,,,,,,,,,,,,,13,10,
,,Cu(InGa)Se2,1.15,,,,,,,,,,,,,,,,,13.6,,
,,,,,,,,,,,,0.09,,,0.72,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ref:,,,,,,,,,,,,,,,,,,,,,,
http://www.semiconductors.co.uk/,,,,,,,,,,,,,,,,,,,,,,
https://cleanroom.byu.edu/Semiconductor-Constants,,,,,,,,,,,,,,,,,,,,,,
http://www.ioffe.ru/SVA/NSM/Semicond/,,,,,,,,,,,,,,,,,,,,,,
https://www.researchgate.net/publication/227052715_Optical_Properties_I,,,,,,,,,,,,,,,,,,,,,,
http://onlinelibrary.wiley.com/doi/10.1002/9783527619290.oth1/pdf,,,,,,,,,,,,,,,,,,,,,,
