wl,n
0.51240,1.914
0.51667,1.966
0.52101,2.020
0.52542,2.074
0.52991,2.130
0.53448,2.186
0.53913,2.243
0.54386,2.301
0.54867,2.358
0.55357,2.416
0.55856,2.474
0.56364,2.533
0.56881,2.592
0.57407,2.650
0.57944,2.710
0.58491,2.769
0.59048,2.829
0.59615,2.889
0.60194,2.949
0.60784,3.010
0.61386,3.071
0.62000,3.133
0.62626,3.195
0.63265,3.257
0.63918,3.321
0.64583,3.384
0.65263,3.448
0.65957,3.513
0.66667,3.579
0.67391,3.645
0.68132,3.713
0.68889,3.781
0.69663,3.849
0.70455,3.919
0.71264,3.990
0.72093,4.062
0.72941,4.135
0.73810,4.209
0.74699,4.284
0.75610,4.360
0.76543,4.438
0.77500,4.517
0.78481,4.597
0.79487,4.679
0.80519,4.763
0.81579,4.848
0.82667,4.934
0.83784,5.023
0.84932,5.113
0.86111,5.205
0.87324,5.300
0.88571,5.396
0.89855,5.494
0.91176,5.595
0.92537,5.697
0.93939,5.803
0.95385,5.910
0.96875,6.021
0.98413,6.134
1.0000,6.250
1.0164,6.370
1.0333,6.493
1.0508,6.619
1.0690,6.749
1.0877,6.884
1.1071,7.023
1.1273,7.167
1.1481,7.316
1.1698,7.471
1.1923,7.631
1.2157,7.798
1.2400,7.971
1.2653,8.151
1.2917,8.338
1.3191,8.534
1.3478,8.737
1.4419,9.402
1.4762,9.644
1.5122,9.897
1.5398,10.091
1.5500,10.162
1.5773,10.353
1.5897,10.441
1.6166,10.629
1.6316,10.733
1.6580,10.917
1.6757,11.040
1.7015,11.220
1.7222,11.364
1.7474,11.538
1.7714,11.705
1.7958,11.874
1.8235,12.066
1.8469,12.227
1.8788,12.447
1.9011,12.601
1.9375,12.852
1.9585,12.997
2.0000,13.281
2.0195,13.416
2.0845,13.861
2.1537,14.334
2.2277,14.839
2.3070,15.378
2.3921,15.956
2.4838,16.576
2.5827,17.245
2.6899,17.966
2.8064,18.747
2.9333,19.597
3.0724,20.523
3.2252,21.538
3.3941,22.654
3.5816,23.887
3.7911,25.258
4.0265,26.788
4.2932,28.509
4.5977,30.456
4.9486,32.678
5.3576,35.235
5.8403,38.205
6.4185,41.695
7.1239,45.845
8.0033,50.849
9.1305,56.982
10.627,64.631
12.711,74.366
15.811,87.053
20.912,104.131
